Proton energy (MeV),Spectrum (MeV^-1),Spectrum error (MeV^-1)
18.95780176518219,-89077422.09916055,42578123.32743291
19.057911206477733,-30774925.59248075,54968120.853304386
19.15802064777328,8093405.411977543,60214559.470049866
19.25813008906883,-69643256.59693645,35481769.43952742
19.358239530364372,10560450.820762698,60214559.470049866
19.458348971659923,-3545892.6202974506,54968120.853304386
19.558458412955467,-22980058.122516483,54968120.853304386
19.65856785425101,35322438.38415575,64188936.07026069
19.758677295546562,-81282554.62920137,42578123.32743291
19.858786736842106,-42414223.62474812,46456541.21360151
19.958896178137653,-22980058.12251897,53222654.15929113
20.0590056194332,132493265.89529133,77126953.28544341
20.159115060728745,-57503321.76932339,44881282.736745074
20.259224502024296,61595971.19475588,63471718.74300634
20.35933394331984,22727640.190305214,60214559.470049866
20.459443384615383,-55009021.81860623,47603789.057254754
20.559552825910934,22727640.190302674,60214559.470049866
20.65966226720648,-16140690.814150535,36357994.45359673
20.759771708502026,42161805.69253182,62012403.70208108
20.859881149797573,3293474.688073583,48477325.938128985
20.959990591093117,65836629.087951444,66380312.35960883
21.060100032388668,49755536.577722065,64188936.07026069
21.160209473684212,-27981125.43117936,46456541.21360151
21.260318914979756,-8546959.928955296,53222654.15929113
21.360428356275307,10887205.573268857,57941486.86528003
21.46053779757085,108058033.08440432,71970164.17707086
21.560647238866398,69189702.07995366,66380312.35960883
21.660756680161946,10887205.573268853,54968120.853304386
21.76086612145749,-8546959.928955298,53222654.15929113
21.86097556275304,-40192611.34504275,47603789.057254754
21.961085004048584,37606573.63082533,60214559.470049866
22.061194445344128,-20695922.87585956,50890591.13271593
22.16130388663968,18172408.128593598,57941486.86528003
22.261413327935223,-1261757.3736278745,54968120.853304386
22.361522769230767,-1261757.37363296,47603789.05725476
22.461632210526318,37606573.630820245,61456227.41170618
22.561741651821862,-40130088.378086165,44881282.736745074
22.66185109311741,-40130088.378081076,44881282.736745074
22.761960534412957,4946953.504166333,54968120.853304386
22.8620699757085,5675558.410786508,53222654.15929113
22.96217941700405,44543889.41524227,60214559.470049866
23.062288858299596,-33192772.59366162,44881282.736745074
23.16239829959514,141714716.92637524,70963538.87905484
23.26250774089069,63978054.917468876,62012403.70208108
23.362617182186234,-13758607.091437541,35985082.08853542
23.46272662348178,25109723.913018186,57941486.86528003
23.56283606477733,44543889.41524226,61456227.41170618
23.662945506072873,26617995.797498345,57941486.86528003
23.763054947368424,-26622243.176662963,47603789.057254754
23.863164388663968,-7188077.674433909,50890591.13271593
23.963273829959512,-7188077.6744389925,50890591.13271593
24.063383271255063,51114418.83224344,60214559.470049866
24.163492712550607,51114418.83224344,61456227.41170618
24.263602153846154,-46056408.678887114,34764892.11916802
24.3637115951417,-7188077.674436361,50890591.13271593
24.463821036437245,-26622243.176662967,44881282.736745074
24.563930477732796,12246087.827787613,53222654.15929113
24.66403991902834,12246087.827795168,53222654.15929113
24.764149360323884,17629930.660560988,54968120.853304386
24.864258801619435,-20988810.45864623,47603789.057254754
24.96436824291498,17879520.545806974,53222654.15929113
25.064477684210527,-59857141.46309688,33660962.0525588
25.164587125506074,-20988810.45864623,47603789.057254754
25.264696566801618,-20988810.458646227,35481769.43952742
25.36480600809717,115050348.05694005,68179562.80907145
25.464915449392713,-1554644.9564195573,50890591.13271593
25.56502489068826,-1554644.9564170726,50890591.13271593
25.665134331983808,56747851.55026018,56325562.80811272
25.76524377327935,37878623.1077205,54968120.853304386
25.865353214574903,23796303.445252437,47603789.05725476
25.965462655870446,23796303.445257463,53222654.15929113
26.06557209716599,62664634.449705645,61456227.41170618
26.16568153846154,-73374524.06588058,31735859.37150317
26.265790979757085,-53940358.56365149,38868331.00445321
26.365900421052633,-53940358.56365149,38868331.00445321
26.46600986234818,-73374524.0658781,31735859.37150317
26.566119303643724,-15072027.55920083,44881282.736745074
26.666228744939275,-34506193.06142737,42578123.32743291
26.76633818623482,-15072027.559195742,35481769.43952742
26.866447627530363,4362137.943025833,50890591.13271593
26.966557068825914,7549710.508388381,50890591.13271593
27.066666510121458,68534678.67924899,49164981.92936495
27.166775951417005,10232182.17256917,46456541.21360151
27.266885392712553,10232182.172564099,50890591.13271593
27.366994834008096,-9201983.329662522,44881282.736745074
27.467104275303647,10232182.172569167,46456541.21360151
27.56721371659919,-28636148.831884034,42578123.32743291
27.667323157894735,-9201983.32966252,47603789.057254754
27.767432599190286,-9201983.329662506,47603789.057254754
27.86754204048583,-9201983.32965743,44881282.736745074
27.967651481781377,-28636148.831884034,42578123.32743291
28.067760923076925,-9201983.329662524,35481769.43952742
